full_name,age,photoURL,player_team,games_played
JezMcLennan,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000044.png?i10c=img.resize(scale_height:0.6),Gold Coast Suns,0.0
CallumColeman-Jones,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000061.png?i10c=img.resize(scale_height:0.6),North Melbourne,10.0
ChrisBurgess,26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000068.png?i10c=img.resize(scale_height:0.6),Gold Coast Suns,2.0
JohnNoble,25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000072.png?i10c=img.resize(scale_height:0.6),Collingwood,25.0
LiamBaker,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000223.png?i10c=img.resize(scale_height:0.6),Richmond,23.0
MatthewParker,26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000267.png?i10c=img.resize(scale_height:0.6),Richmond,5.0
LachieSchultz,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000860.png?i10c=img.resize(scale_height:0.6),Fremantle,23.0
LachlanBramble,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000864.png?i10c=img.resize(scale_height:0.6),Hawthorn,9.0
MitchLewis,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000887.png?i10c=img.resize(scale_height:0.6),Hawthorn,15.0
TomDoedee,25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000932.png?i10c=img.resize(scale_height:0.6),Adelaide Crows,20.0
JackHenry,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000937.png?i10c=img.resize(scale_height:0.6),Geelong Cats,17.0
HarryMcKay,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000953.png?i10c=img.resize(scale_height:0.6),Carlton,19.0
MaxLynch,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000960.png?i10c=img.resize(scale_height:0.6),Hawthorn,7.0
HarryMorrison,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000963.png?i10c=img.resize(scale_height:0.6),Hawthorn,21.0
WillemDrew,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000972.png?i10c=img.resize(scale_height:0.6),Port Adelaide,22.0
HughMcCluggage,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000978.png?i10c=img.resize(scale_height:0.6),Brisbane Lions,24.0
LloydMeek,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000980.png?i10c=img.resize(scale_height:0.6),Fremantle,6.0
DanielRioli,25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000981.png?i10c=img.resize(scale_height:0.6),Richmond,23.0
LachlanMurphy,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1000998.png?i10c=img.resize(scale_height:0.6),Adelaide Crows,17.0
NickLarkey,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1001017.png?i10c=img.resize(scale_height:0.6),North Melbourne,20.0
NedReeves,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1001024.png?i10c=img.resize(scale_height:0.6),Hawthorn,12.0
JordanRidley,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1001026.png?i10c=img.resize(scale_height:0.6),Essendon,20.0
JackSilvagni,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1001028.png?i10c=img.resize(scale_height:0.6),Carlton,21.0
IzakRankine,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1001195.png?i10c=img.resize(scale_height:0.6),Gold Coast Suns,18.0
ConnorRozee,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1001299.png?i10c=img.resize(scale_height:0.6),Port Adelaide,22.0
IsaacCumming,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1001396.png?i10c=img.resize(scale_height:0.6),GWS Giants,21.0
MatthewKennedy,25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1001398.png?i10c=img.resize(scale_height:0.6),Carlton,17.0
