title,product_img_url,in_stock,alcoholPercentage,price
Affligem Blond - 2L SUB Keg,https://www.beerwulf.com/globalassets/affligem-blond-2l-keg_1_02.png,True,6.7,£ 11.99
Delirium Tremens - 2L SUB Keg,https://www.beerwulf.com/globalassets/delirium-tremens-2l-keg_1_0.png,True,8.5,£ 18.99
Lagunitas IPA - 2L SUB Keg,https://www.beerwulf.com/globalassets/lagunitas-ipa-2l-keg_1_02.png,True,6.2,£ 13.99
Tiger - 2L SUB Keg,https://www.beerwulf.com/globalassets/tiger-2l-keg_1_0.png,True,4.8,£ 10.99
Cruzcampo Especial - 2L SUB Keg,https://www.beerwulf.com/globalassets/cruzcampo-especial-2l-keg_1_1.png,True,5.6,£ 10.99
Hofbräu Kaltenhausen Gandolf IPA - 2L SUB Keg,https://www.beerwulf.com/globalassets/hofbrau-kaltenhausen-gandolf-ipa-2l-keg_1_1.png,True,7.9,£ 12.49
Newcastle Brown Ale - 2L SUB Keg,https://www.beerwulf.com/globalassets/new-castle-brown-ale-2l-keg_1_04.png,True,4.7,£ 11.29
Fourpure Session IPA - 2L SUB Keg,https://www.beerwulf.com/globalassets/fourpure-session-ipa-2l-keg_1_04.png,True,4.2,£ 15.99
Desperados - 5L Draught Keg,https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/5l-keg/draught_keg_5l_desperados_original.png,True,5.9,£ 26.99
Krombacher Pils - 5L Draught Keg,https://www.beerwulf.com/globalassets/krombacher-pilsdraughtkeg5_14692_2.png,True,4.8,£ 26.99
Puntigamer - 2L SUB Keg,https://www.beerwulf.com/globalassets/puntigamer---sub-keg_beer_23044_03.png,True,5.2,£ 10.99
Paulaner Weissbier - 5L Draught Keg,https://www.beerwulf.com/globalassets/paulaner-weissbier---draught-keg_beer_23351_0.png,True,5.5,£ 29.99
Desperados - 8L BLADE Keg,https://www.beerwulf.com/globalassets/desperados-blade-keg_beer_23543_02.png,True,5.9,£ 39.99
Messina Cristalli Di Sale - 8L BLADE Keg,https://www.beerwulf.com/globalassets/messina-cristalli-di-sale---8l-blade-keg_beer_23827_03.png,True,5.0,£ 37.99
Wild Beer Co IPA - 2L SUB Keg,https://www.beerwulf.com/globalassets/wild-beer-co-ipa---sub-keg-v2_beer_24040_0.png,True,5.2,£ 15.99
Mama IPA - 2L SUB Keg,https://www.beerwulf.com/globalassets/mama-ipa---sub-keg-v2_beer_24044_0.png,True,5.9,£ 16.99
Affligem Dubbel - 2L SUB Keg,https://www.beerwulf.com/globalassets/affligem-dubbel---sub-keg-v2_beer_24046_0.png,True,6.8,£ 12.99
Lagunitas DayTime - 2L SUB Keg,https://www.beerwulf.com/globalassets/lagunitas-daytime---sub-keg-v2_beer_24050_0.png,True,4.0,£ 13.99
Hapkin - 2L SUB Keg,https://www.beerwulf.com/globalassets/hapkin---sub-keg-v2_beer_24052_0.png,True,8.5,£ 14.99
Lagunitas IPA - 5L Draught Keg,https://www.beerwulf.com/globalassets/lagunitas-ipa---5l-draught-keg_beer_24142_02.png,True,6.2,£ 27.99
Villacher Märzen - 8L BLADE Keg,https://www.beerwulf.com/globalassets/villacher-marzen--8l-blade-keg_beer_24494_02.png,True,5.0,£ 37.99
Jopen 4-granen Bock -2L SUB Keg,https://www.beerwulf.com/globalassets/jopen-4-granen-bock_beer_24614_0.png,True,6.5,£ 16.99
Tricky Tripel - 2L SUB Keg,https://www.beerwulf.com/globalassets/gebrouwen-door-vrouwen---tripel-trap_beer_24870_0.png,True,7.8,£ 18.99
Birra Moretti Baffo d'Oro - 8L BLADE Keg,https://www.beerwulf.com/globalassets/birra-moretti-baffo-doro---8l-blade-keg_beer_24878_02.png,True,4.8,£ 36.99
Brouwerij 't IJ IJwit value case,https://www.beerwulf.com/globalassets/4.-products/packs/value-packs/brouwerij_t_ij_ijwit_box.png,True,,£ 60.99
Lagunitas A Little Sumpin Sumpin Value Case,https://www.beerwulf.com/globalassets/lagunitas-a-little-sumpin-sumpin-voordeelverpakking_1_03.png,True,,£ 61.99
Beerwulf Tasting Beer Glass Case,https://www.beerwulf.com/globalassets/6-harmony-beerwulf-glass-pack_pack_22730_0.png,True,,£ 27.99
Beerwulf Lager Beer Glass Case,https://www.beerwulf.com/globalassets/6-frankonia-beerwulf-glass-pack_pack_22773_0.png,True,,£ 25.99
Heineken Beer Glass Case,https://www.beerwulf.com/globalassets/6-heineken-glass-pack_pack_22777_05.png,True,,£ 20.99
Beerwulf Mixed Beer Glass Case,https://www.beerwulf.com/globalassets/6-mixed-beewulf-glass-pack_pack_22808_0.png,True,,£ 26.99
Belgian Beer Case,https://www.beerwulf.com/globalassets/belgian-pack_pack_24692_0.png,True,,£ 43.99
IPA Beer Case,https://www.beerwulf.com/globalassets/ipa-pack_pack_24763_0.png,True,,£ 45.99
World of Beer Case,https://www.beerwulf.com/globalassets/world-of-beer-pack_pack_24804_0.png,True,,£ 41.99
12 Popular Beer Case,https://www.beerwulf.com/globalassets/12-popular-beer-case-v5_pack_24882_0.png,True,,£ 27.50
Tiger Beer Glass Case,https://www.beerwulf.com/globalassets/6-tiger-schooner-uk_accessories_24133_02.png,True,,£ 27.99
The Desperados BLADE Tap Handle,https://www.beerwulf.com/globalassets/desperados-blade-taphandle_accessories_24408_03.png,True,,£ 29.99
The Birra Moretti BLADE Sticker,https://www.beerwulf.com/globalassets/birra-moretti-blade-sleeve_accessories_24414_03.png,True,,£ 19.99
Amstel - 8L BLADE Keg,https://www.beerwulf.com/globalassets/amstel---blade-keg_beer_22674_03.png,True,4.1,£ 33.99
BLADE Birra Moretti Starter Pack,https://www.beerwulf.com/globalassets/blade-2x-birra-moretti-8l-keg_04.png,True,,£ 499
Heineken - 8L BLADE Keg,https://www.beerwulf.com/globalassets/heineken-8l-blade-keg_1_2.png,True,5.0,£ 34.99
BLADE Heineken Starter Pack + Glasses,https://www.beerwulf.com/globalassets/blade--2-heineken---8l--6-hnk-glasses_skucollection_24311_03.png,True,,£ 519
Advent Calendar Beer Case 2022,https://www.beerwulf.com/globalassets/advent-calendar-pack-2022_pack_24681_010.jpeg,True,,£ 83.99
The SUB Compact Party Starter Pack,https://www.beerwulf.com/globalassets/sub--4-bm-lautentica--4-amstel_skucollection_23727_0.png,True,,£ 175
