Manufacturer,Product_name,Model_number,Technology,Certification_body,Website,Certification_period,Current_certification_status,SCOP values
Model Number: PUHZ-W85VHA-BS,Ecodan,PUHZ-W85VHA-BS,Air Source Heat Pump,BRE Global,http://ecodan.co.uk/,12/09/2008 - Present,Certified,"[('35°C', '4.01'), ('36°C', '3.96'), ('37°C', '3.92'), ('38°C', '3.87'), ('39°C', '3.83'), ('40°C', '3.78'), ('41°C', '3.73'), ('42°C', '3.69'), ('43°C', '3.64'), ('44°C', '3.60'), ('45°C', '3.55'), ('46°C', '3.51'), ('47°C', '3.48'), ('48°C', '3.44'), ('49°C', '3.40'), ('50°C', '3.37'), ('51°C', '3.33'), ('52°C', '3.29'), ('53°C', '3.25'), ('54°C', '3.22'), ('55°C', '3.18'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: PUHZ-W50VHA-BS,Ecodan,PUHZ-W50VHA-BS,Air Source Heat Pump,BRE Global,http://ecodan.co.uk/,16/10/2008 - Present,Certified,"[('35°C', '4.03'), ('36°C', '3.98'), ('37°C', '3.93'), ('38°C', '3.89'), ('39°C', '3.84'), ('40°C', '3.79'), ('41°C', '3.75'), ('42°C', '3.70'), ('43°C', '3.65'), ('44°C', '3.61'), ('45°C', '3.56'), ('46°C', '3.52'), ('47°C', '3.48'), ('48°C', '3.44'), ('49°C', '3.41'), ('50°C', '3.37'), ('51°C', '3.33'), ('52°C', '3.29'), ('53°C', '3.25'), ('54°C', '3.21'), ('55°C', '3.17'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: PUHZ-HW140VHA-BS,Ecodan,PUHZ-HW140VHA-BS,Air Source Heat Pump,BRE Global,http://ecodan.co.uk/,16/10/2008 - Present,Certified,"[('35°C', '3.87'), ('36°C', '3.83'), ('37°C', '3.79'), ('38°C', '3.75'), ('39°C', '3.71'), ('40°C', '3.68'), ('41°C', '3.64'), ('42°C', '3.60'), ('43°C', '3.56'), ('44°C', '3.52'), ('45°C', '3.48'), ('46°C', '3.44'), ('47°C', '3.41'), ('48°C', '3.37'), ('49°C', '3.34'), ('50°C', '3.30'), ('51°C', '3.26'), ('52°C', '3.23'), ('53°C', '3.19'), ('54°C', '3.16'), ('55°C', '3.12'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: LA 40 TU,LA 40 TU,LA 40 TU,Air Source Heat Pump,BRE Global,http://www.dimplex.co.uk/,08/12/2009 - Present,Certified,"[('35°C', '4.37'), ('36°C', '4.28'), ('37°C', '4.18'), ('38°C', '4.09'), ('39°C', '3.99'), ('40°C', '3.90'), ('41°C', '3.80'), ('42°C', '3.71'), ('43°C', '3.61'), ('44°C', '3.52'), ('45°C', '3.42'), ('46°C', '3.39'), ('47°C', '3.36'), ('48°C', '3.33'), ('49°C', '3.30'), ('50°C', '3.27'), ('51°C', '3.24'), ('52°C', '3.21'), ('53°C', '3.17'), ('54°C', '3.14'), ('55°C', '3.11'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Ecodan PUHZ-W85VHA2,Ecodan,Ecodan PUHZ-W85VHA2,Air Source Heat Pump,BRE Global,http://ecodan.co.uk/,24/12/2009 - Present,Certified,"[('35°C', '4.01'), ('36°C', '3.96'), ('37°C', '3.92'), ('38°C', '3.87'), ('39°C', '3.83'), ('40°C', '3.78'), ('41°C', '3.73'), ('42°C', '3.69'), ('43°C', '3.64'), ('44°C', '3.60'), ('45°C', '3.55'), ('46°C', '3.51'), ('47°C', '3.48'), ('48°C', '3.44'), ('49°C', '3.40'), ('50°C', '3.37'), ('51°C', '3.33'), ('52°C', '3.29'), ('53°C', '3.25'), ('54°C', '3.22'), ('55°C', '3.18'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Ecodan PUHZ-W85VHA2-BS,Ecodan,Ecodan PUHZ-W85VHA2-BS,Air Source Heat Pump,BRE Global,http://ecodan.co.uk/,24/12/2009 - Present,Certified,"[('35°C', '4.01'), ('36°C', '3.96'), ('37°C', '3.92'), ('38°C', '3.87'), ('39°C', '3.83'), ('40°C', '3.78'), ('41°C', '3.73'), ('42°C', '3.69'), ('43°C', '3.64'), ('44°C', '3.60'), ('45°C', '3.55'), ('46°C', '3.51'), ('47°C', '3.48'), ('48°C', '3.44'), ('49°C', '3.40'), ('50°C', '3.37'), ('51°C', '3.33'), ('52°C', '3.29'), ('53°C', '3.25'), ('54°C', '3.22'), ('55°C', '3.18'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Ecodan PUHZ-HW140VHA2,Ecodan,Ecodan PUHZ-HW140VHA2,Air Source Heat Pump,BRE Global,http://ecodan.co.uk/,24/12/2009 - Present,Certified,"[('35°C', '3.87'), ('36°C', '3.83'), ('37°C', '3.79'), ('38°C', '3.75'), ('39°C', '3.71'), ('40°C', '3.68'), ('41°C', '3.64'), ('42°C', '3.60'), ('43°C', '3.56'), ('44°C', '3.52'), ('45°C', '3.48'), ('46°C', '3.44'), ('47°C', '3.41'), ('48°C', '3.37'), ('49°C', '3.34'), ('50°C', '3.30'), ('51°C', '3.26'), ('52°C', '3.23'), ('53°C', '3.19'), ('54°C', '3.16'), ('55°C', '3.12'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Ecodan PUHZ-HW140VHA2-BS,,,,,http://ecodan.co.uk/,,,"[('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', ''), ('', '')]"
Model Number: EDHQ014AA6V3,Daikin Altherma,EDHQ014AA6V3,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,02/02/2010 - Present,Certified,"[('35°C', '3.31'), ('36°C', '3.29'), ('37°C', '3.27'), ('38°C', '3.25'), ('39°C', '3.23'), ('40°C', '3.20'), ('41°C', '3.18'), ('42°C', '3.16'), ('43°C', '3.14'), ('44°C', '3.12'), ('45°C', '3.10'), ('46°C', '3.06'), ('47°C', '3.02'), ('48°C', '2.98'), ('49°C', '2.94'), ('50°C', '2.90'), ('51°C', '2.86'), ('52°C', '2.82'), ('53°C', '2.79'), ('54°C', '2.75'), ('55°C', '2.71'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: EDHQ016AA6V3,Daikin Altherma,EDHQ016AA6V3,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,02/02/2010 - Present,Certified,"[('35°C', '3.12'), ('36°C', '3.11'), ('37°C', '3.09'), ('38°C', '3.07'), ('39°C', '3.06'), ('40°C', '3.04'), ('41°C', '3.02'), ('42°C', '3.01'), ('43°C', '2.99'), ('44°C', '2.97'), ('45°C', '2.96'), ('46°C', '2.92'), ('47°C', '2.89'), ('48°C', '2.85'), ('49°C', '2.82'), ('50°C', '2.79'), ('51°C', '2.75'), ('52°C', '2.72'), ('53°C', '2.68'), ('54°C', '2.65'), ('55°C', '2.62'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
